asylum_country,refugees
Afghanistan,120
Albania,4307
Algeria,85565
Antigua and Barbuda,10
Argentina,2285
Armenia,648
Austria,35501
Azerbaijan,944
Bahamas,12
Bangladesh,306
Barbados,8
Belarus,5635
Belgium,44259
Belize,242
Benin,10264
Bolivia (Plurinational State of),1498
Bosnia and Herzegovina,298
Brazil,177195
British Virgin Islands,49
Bulgaria,36791
Burkina Faso,1400
Burundi,3832
Cameroon,10573
Canada,173931
Cayman Islands,36
Central African Rep.,8226
Chad,253059
Chile,90493
China,78
"China, Hong Kong SAR",18
Colombia,7051
Comoros,13
"Congo, Republic of",1278
Costa Rica,31920
Croatia,4887
Cuba,34
Cyprus,9718
Czechia,78253
Côte d'Ivoire,29496
Dem. Rep. of the Congo,6101
Denmark,11855
Djibouti,927
Dominica,5
Dominican Rep.,3576
Ecuador,7063
Egypt,445663
El Salvador,272
Equatorial Guinea,5
Estonia,7434
Eswatini,1471
Ethiopia,18271
Fiji,20
Finland,14577
France,142064
Gabon,12
Gambia,70
Georgia,6971
Germany,459813
Ghana,6667
Greece,74704
Guatemala,1867
Guinea,118
Guyana,1748
Honduras,163
Hungary,6284
Iceland,2951
India,3065
Indonesia,87
Iran (Islamic Rep. of),832
Iraq,15715
Ireland,29021
Israel,6080
Italy,167985
Japan,19924
Jordan,1002
Kazakhstan,23290
Kenya,105985
Kuwait,17
Kyrgyzstan,2323
Latvia,6963
Lebanon,1208
Lesotho,70
Liberia,64
Libya,198982
Liechtenstein,319
Lithuania,9498
Luxembourg,2667
Madagascar,296
Malawi,3921
Malaysia,10436
Mali,67205
Malta,891
Mauritania,43078
Mauritius,68
Mexico,78966
Mongolia,15
Montenegro,2181
Morocco,4339
Mozambique,1063
Namibia,526
Nauru,112
Nepal,22
Netherlands (Kingdom of the),60809
New Zealand,2387
Niger,82917
Nigeria,28929
North Macedonia,2330
Norway,23208
Pakistan,327
Palau,5
Panama,973
Papua New Guinea,60
Paraguay,303
Peru,124447
Philippines,575
Poland,180330
Portugal,9892
Rep. of Korea,18327
Rep. of Moldova,46119
Romania,39804
Russian Federation,7027
Rwanda,2581
Sao Tome and Principe,5
Saudi Arabia,74
Senegal,522
Serbia and Kosovo: S/RES/1244 (1999),8194
Sint Maarten (Dutch part),26
Slovakia,26257
Slovenia,7261
Solomon Islands,5
Somalia,3506
South Africa,7077
South Sudan,133187
Spain,203814
Sri Lanka,124
Sudan,30195
Suriname,623
Sweden,16717
Switzerland,31988
Syrian Arab Rep.,153
Tajikistan,5307
Thailand,7176
Togo,15932
Trinidad and Tobago,16
Tunisia,5403
Türkiye,107761
Uganda,146131
Ukraine,92
United Arab Emirates,50
United Kingdom,136969
United Rep. of Tanzania,3177
United States of America,729093
Uruguay,10994
Yemen,6898
Zambia,11478
Zimbabwe,1004
